aiport_id,airport_name,origin_state
256,BOIRE FIELD,New Hampshire
257,VALDOSTA REGIONAL,Georgia
258,MANASSAS REGIONAL ARPT,Virginia
259,ERIE INTL,Pennsylvania
260,CINCINNATI MUNI ARPT-LUNKEN FIELD,Ohio
261,SACRAMENTO MATHER ARPT,California
262,LUIS MUNOZ MARIN INTL -SAN JUAN,Puerto Rico
263,MOLOKAI ARPT,Hawaii
264,MCGHEE TYSON ARPT,Tennessee
265,ST. PETERSBURG/CLEARWATER INTL,Florida
266,GRANT COUNTY ARPT,Washington
267,TORONTO/LESTER B. PEARSON INTL,Ontario
268,DANE COUNTY REGIONAL ARPT-TRUAX FLD,Wisconsin
269,EDWARD G PITKA SR ARPT,Alaska
270,UNIV OF ILLINOIS -WILLARD ARPT,Illinois
271,ELKO REGIONAL ARPT,Nevada
272,DEKALB-PEACHTREE ARPT,Georgia
273,CHICAGO EXECUTIVE ARPT,Illinois
274,FLORENCE REGIONAL,South Carolina
275,NORWOOD MEMORIAL ARPT,Massachusetts
276,LIVERMORE MUNICIPAL ARPT,California
277,ROCKY MOUNT WILSON RGNL ARPT,North Carolina
278,TULSA INTL,Oklahoma
279,BATON ROUGE METRO,Louisiana
280,WILLOUGHBY LOST NATION MUNI ARPT,Ohio
281,WILKES-BARRE/SCRANTON INTL,Pennsylvania
282,HENDERSON FIELD,Prince Edward Island
283,FALLS INTL ARPT,Minnesota
284,LUBBOCK INTL,Texas
285,AUGUSTA STATE,Maine
286,WILMINGTON INTL,North Carolina
287,JUNEAU INTL ARPT,Alaska
288,RENO TAHOE INTL,Nevada
289,ST AUGUSTINE,Florida
290,MONTGOMERY REGIONAL ARPT,Alabama
291,PORTLAND-HILLSBORO ARPT,Oregon
292,PANGBORN MEMORIAL,Washington
293,TRI-CITIES,Washington
294,PURDUE UNIV ARPT,Indiana
295,DAYTONA BEACH INTL,Florida
296,EASTERWOOD FIELD AIRPORT,Texas
297,MANAGUA INTL ARPT,
298,HENRY E ROHLSEN ARPT,Virgin Islands
299,IMPERIAL COUNTY ARPT,California
300,KLAMATH FALLS INTL,Oregon
301,FAIRBANKS INTL ARPT,Alaska
302,EUGENIO MARIA DE HOSTOS ARPT,Puerto Rico
303,MISSOULA INTL ARPT,Montana
304,DUBUQUE REGIONAL ARPT,Iowa
305,SAND POINT ARPT,Alaska
306,MONETT MUNICIPAL ARPT,Missouri
307,WATERBURY-OXFORD ARPT,Connecticut
308,AKRON-CANTON MUNICIPAL,Ohio
309,READING REGIONAL,Pennsylvania
310,COLUMBUS METRO,Georgia
311,NANTUCKET MEMORIAL,Massachusetts
312,ROCKY MOUNTAIN METROPOLITAN ARPT,Colorado
313,COLUMBIA METRO,South Carolina
314,WILLIAMSPORT,Pennsylvania
315,BUSH FLD,Georgia
316,INDIANAPOLIS METROPOLITAN ARPT,Indiana
317,BISHOP INTL FLINT,Michigan
318,BELLINGHAM INTL,Washington
319,BETZ ARPT,Michigan
320,NOGALES INTL ARPT,Arizona
321,TOKYO INTL,
322,GANDER INTL,Newfoundland and Labrador
323,GOSHEN MUNICIPAL ARPT,Indiana
324,ADAMS COUNTY- LEGION FIELD,Wisconsin
325,HAMILTON MUNICIPAL ARPT,New York
326,FALCON FIELD ARPT,Arizona
327,KAPALUA ARPT,Hawaii
328,BROWNSVL/SO PADRE IS,Texas
329,GUAM INTL ARPT,Prince Edward Island
330,CHESTER COUNTY G O CARLSON ARPT,Pennsylvania
331,SNOHOMISH CO (PAINE FIELD),Washington
332,ST. LUCIE COUNTY INTL ARPT,Florida
333,MEACHAM FT WORTH,Texas
334,GRAND JUNCTION REGIONAL ARPT,Colorado
335,IDAHO FALLS REGIONAL ARPT,Idaho
336,MBS INTL,Michigan
337,REPUBLIC AIRPORT,New York
338,CAPITAL CITY ARPT (PA),Pennsylvania
339,GREENVILLE-SPARTANBURG INTL,South Carolina
340,ASHEVILLE REGIONAL ARPT,North Carolina
341,ST LOUIS DOWNTOWN,Illinois
342,MOBILE DOWNTOWN ARPT,Alabama
343,PULLMAN-MOSCOW REGIONAL,Washington
344,GENERAL ESCOBEDO INTL,
345,MCNARY FLD ARPT,Oregon
346,BOWMAN FIELD,Kentucky
347,PIEDMONT TRIAD INTL,North Carolina
348,FLOYD BENNETT MEMORIAL,New York
349,PU DONG INTL ARPT,
350,AMSTERDAM SCHIPHOL,
351,WEST BEND MUNICIPAL ARPT,Wisconsin
352,GREATER ROCKFORD,Illinois
353,GRAND CANYON WEST,Arizona
354,KEY WEST INTL ARPT,Florida
355,EPHRAIM- FISH CREEK,Wisconsin
356,NUT TREE AIRPORT,California
357,SACRAMENTO EXECUTIVE ARPT,California
358,MONTEREY PENINSULA,California
359,JOE FOSS FIELD ARPT,South Dakota
360,CHEYENNE REGIONAL ARPT,Wyoming
361,TRI-STATE MILTON FERGUSON,West Virginia
362,CYRIL E KING ARPT,Virgin Islands
363,LONG BEACH-DAUGH FLD,California
364,ABILENE REGIONAL ARPT,Texas
365,TEXARKANA-WEBB FIELD,Arkansas
366,INDIRA GANDHI INTL,
367,HAMILTON,Ontario
368,WILL ROGERS WORLD ARPT,Oklahoma
369,LEBANON MUNICIPAL ARPT,New Hampshire
370,GRAND FORKS INTL,North Dakota
371,HILTON HEAD ISLAND,South Carolina
372,WILLOW RUN ARPT,Michigan
373,GROSSE ILE MUNICIPAL ARPT,Michigan
374,LAKELAND LINDER REGIONAL,Florida
375,SHEREMETYEVO INTL,
376,CIUDAD DEL ESTE GARCIA,
377,SOUTH BEND REGIONAL,Indiana
378,OUTAGAMIE COUNTY REGIONAL,Wisconsin
379,MAHLON SWEET FLD,Oregon
380,QUONSET STATE ARPT,Rhode Island
381,CLARK INTL,
382,SOUTHWEST GEORGIA REGIONAL ARPT,Georgia
383,EASTERN WEST VIRGINIA REGIONAL ARPT,West Virginia
384,BOEING FIELD K C INT,Washington
385,SAIPAN INTL,Prince Edward Island
386,WILLIAMSON COUNTY REGIONAL,Illinois
387,CENTENNIAL ARPT,Colorado
388,WALLA WALLA REGIONAL,Washington
389,JIM HOGG COUNTY AROT,Texas
390,HAWTHORNE MUNICIPAL ARPT,California
391,PETALUMA MUNICIPAL ARPT,California
392,SONOMA COUNTY ARPT,California
393,LANAI ARPT,Hawaii
394,TUCSON INTL,Arizona
395,JOHNSON COUNTY EXECUTIVE ARPT,Kansas
396,ROSWELL INTL AIR CENTER,New Mexico
397,ALBERT J ELLIS,North Carolina
398,NEW TOKYO INTL,
399,HECTOR INTERNATIONAL,North Dakota
400,SCHENECTADY COUNTY,New York
401,LONDON-LUTON ARPT,
402,PUNTA CANA INTL,
403,DILLANT-HOPKINS ARPT,New Hampshire
404,SALISBURY-WICOMICO,Maryland
405,CORPUS CHRISTI INTL ARPT,Texas
406,MONROE REGIONAL ARPT,Louisiana
407,BARNSTABLE MUNICIPAL,Massachusetts
408,ROBERTSON FIELD,Connecticut
409,MODESTO CITY-COUNTY,California
410,YELLOWSTONE ARPT,Montana
411,DEER PARK ARPT,Washington
412,SANGSTER INTL,
413,ZELIENOPLE MUNICIPAL,Pennsylvania
414,LORAIN COUNTY REGIONAL ARPT,Ohio
415,CECIL ARPT,Florida
416,BOLTON FIELD ARPT,Ohio
417,ST LOUIS REGIONAL,Illinois
418,EASTON/NEWMAN FIELD ARPT,Maryland
419,CHERRY CAPITAL ARPT,Michigan
420,ST. PAUL DOWNTOWN ARPT,Minnesota
421,OSCEOLA MUNICIPAL ARPT,Arkansas
422,YELLOWSTONE REGIONAL,Wyoming
423,DURANGO-LA PLATA CO,Colorado
424,SELAWICK ARPT,Alaska
425,WALLOPS FLIGHT FACILITY,Virginia
426,OHIO STATE UNIVERSITY,Ohio
427,SHEBOYGAN COUNTY MEMORIAL ARPT,Wisconsin
428,SITKA (SPB),Alaska
429,THIEF RIVER FALLS REGIONAL,Minnesota
430,YAKUTAT ARPT,Alaska
431,MANCHESTER ENGLAND,
432,MARSHALL ISLANDS INTL ARPT,Prince Edward Island
433,SYRACUSE HANCOCK INTL,New York
434,MERCEDITA ARPT,Puerto Rico
435,ORMOND BEACH MUNICIPAL ARPT,Florida
436,MONTROSE REGIONAL ARPT,Colorado
437,HELENA REGIONAL,Montana
438,MOBILE REGIONAL,Alabama
439,PALM SPRINGS INTL,California
440,DE KALB TAYLOR MUNICIPAL ARPT,Illinois
441,EVANSTON-UINTA COUNTY BURNS FIELD,Wyoming
442,JESSE VIERTEL MEMORIAL ARPT,Missouri
443,MCCLELLAN-PALOMAR,California
444,EL SALVADOR INTL,
445,MC CLELLAN AIRFIELD,California
446,WAYNE COUNTY,Ohio
447,CHINO AIRPORT,California
448,MILANO MALPENSA,
449,MIDDLE GEORGIA REGIONAL,Georgia
450,COMPTON/WOODLEY ARPT,California
451,YOUNGSTOWN-WARREN RGNL ARPT,Ohio
452,RANGE REGIONAL ARPT,Minnesota
453,EL MONTE ARPT,California
454,ALLENTOWN QUEEN CITY MUNICIPAL,Pennsylvania
455,SUGAR LAND REGIONAL ARPT,Texas
456,NORTHEASTERN REGIONAL,North Carolina
457,LINDEN AIRPORT,New Jersey
458,MADRID-BARAJAS,
459,ELMIRA/CORNING MUNICIPAL,New York
460,MANHATTAN REGIONAL,Kansas
461,SCOTT CITY MUNICIPAL ARPT,Kansas
