record_id,aircraft_id,airport_id
217197,1,192
214577,49,217
217514,1,93
213398,1,218
6997,21,36
217598,12,8
211549,66,22
214472,16,93
215778,30,219
214666,43,0
215326,63,1
215623,6,1
215434,22,127
218463,43,42
212926,1,87
214632,235,93
220389,162,211
220923,19,108
215700,41,220
222234,1,180
215316,3,221
216679,22,56
213699,165,16
214541,34,14
220640,192,15
212713,132,135
212006,63,1
220254,192,162
219634,43,222
217819,43,51
213989,63,67
215774,143,107
215130,1,51
215345,1,223
220265,9,224
221177,25,43
218249,192,112
217442,22,16
211374,192,22
214895,22,225
216780,63,122
214092,192,28
220244,1,91
217182,3,83
215753,216,124
216182,30,226
215187,30,110
214231,30,227
213785,39,105
221886,216,18
217080,79,27
214530,162,123
213779,1,221
5829,1,113
218516,1,228
219992,39,229
215435,3,13
211318,43,118
217587,30,230
215417,30,105
218844,12,231
217571,19,215
214882,23,232
219928,1,62
214400,43,57
217019,170,22
218125,117,233
219888,1,217
215832,2,1
218864,25,107
216599,9,107
212285,69,224
219466,30,60
222036,1,234
212634,6,120
213085,81,95
217933,162,55
215569,4,7
217475,22,59
212847,43,123
217287,19,1
210700,118,235
214788,1,120
212881,44,59
217437,6,236
216261,19,1
214117,49,237
219307,58,238
216806,1,239
219760,1,59
216926,34,57
218626,34,57
1195,21,36
212433,1,49
219226,12,231
214610,63,45
216417,192,18
215288,1,240
217074,26,22
218345,266,105
219603,4,43
220513,9,39
5525,1,113
224628,6,8
217926,63,1
217696,168,241
212138,1,42
221983,9,77
219904,1,37
219506,170,22
217665,9,112
209789,43,59
218643,192,106
216231,34,242
215503,66,107
210755,192,106
219485,162,106
219840,1,43
224006,1,91
218576,63,243
220596,43,106
214641,192,49
220433,9,244
218656,1,112
216059,1,107
222896,22,228
214662,9,97
213336,39,245
220408,7,106
220409,1,107
218410,6,22
219609,198,246
213824,16,123
219912,1,34
217690,143,49
218970,4,1
220170,63,247
216506,6,30
218126,9,93
215750,1,202
214908,44,120
216881,192,17
215272,1,150
217196,1,91
220766,6,16
220716,155,112
218979,4,248
220833,172,10
217085,154,2
219757,22,178
220906,12,16
217082,39,0
219213,12,67
221611,9,7
218742,6,228
220713,216,15
222044,4,91
218356,4,0
217901,9,91
221178,63,1
220089,9,91
220393,1,7
220334,1,28
221520,143,59
220395,57,62
221968,1,12
217053,1,94
217266,9,91
220032,23,41
216877,162,11
217420,49,52
220874,166,249
222520,192,250
217849,16,39
221274,78,84
216415,268,12
215713,43,236
217447,162,108
218930,1,251
218286,1,252
221551,81,253
218959,1,12
223294,110,254
218535,9,31
217878,170,112
224730,41,150
223366,39,3
221073,192,117
218969,1,255
217170,41,124
219524,1,30
216930,87,256
220357,216,197
221032,1,112
218819,214,257
217271,192,120
223099,192,120
220230,1,258
215074,6,93
217359,39,113
216917,39,259
219626,81,27
219613,291,249
217243,78,4
218298,12,92
220850,174,260
222774,6,43
216811,170,261
217167,43,112
216826,6,262
219756,39,263
225516,9,264
216628,43,265
223064,1,266
216630,19,15
222305,12,16
217028,7,106
223070,132,1
221497,7,39
225975,16,15
223374,1,54
224749,4,267
